e-flyer;ISBN;last name of 1st author;authors without affiliation;title;subtitle;series;edition;copyright year;pages arabic;cover;medium type;bibliography;MRW;no. of volumes;price status EUR net;EUR net;EUR gross (D);EUR gross (A);GBP net;CHF gross;pre-pub EUR net;pre-pub EUR gross (D);pre-pub EUR gross (A);pre-pub EUR valid until;pre-pub GBP net;pre-pub CHF gross;language;main subject;subject 1;bic code 1;subject 2;bic code 2;bookstore location;SN No.;SN status;product category;publisher;availability status;release date;distribution rights;table of contents short;information text;USP international;EAN Code;publication class
;978-3-540-89920-4;Abraham;"Ajith Abraham; Rafael Falcón; Rafael Bello (Eds.)";Rough Set Theory: A True Landmark in Data Analysis;;Studies in Computational Intelligence  Vol. 174;;2009;324;Hardcover;Book;XVI, 324 p. 28 illus.;;;final;129,95;139,05;142,95;112,5;216;;;;;;;English;Engineering;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;I21017 Artificial Intelligence (incl. Robotics);UXC;Engineering;Jan 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;26.02.2009;;<P>Part I Theoretical Contributions to Rough Set Theory.- Rough Sets on Fuzzy Approximation Spaces and Intuitionistic Fuzzy Approximation Spaces.- Categorical Innovations for Rough Sets.- Granular Structures and Approximations in Rough Sets and Knowledge Spaces.- On Approximation of Classifications, Rough Equalities and Rough Equivalences.- Part II Rough Set Data Mining Activities.- Rough Clustering with Partial Supervision.- A Generic Scheme for Generating Prediction Rules Using Rough Sets.- Rough Web Caching.- Software Defect Classification: A Comparative Study of Rough-Neuro-Fuzzy Hybrid Approaches with Linear and Non-Linear SVMs.- Part III Rough Hybrid Models to Classification and Attribute Reduction.- Rough Sets and Evolutionary Computation to Solve the Feature Selection Problem.- Nature Inspired Population-based Heuristics for Rough Set Reduction.- Developing a Knowledge-based System using Rough Set Theory and Genetic Algorithms for Substation Fault Diagnosis.</P>;<P>Along the years, rough set theory has earned a well-deserved reputation as a sound methodology for dealing with imperfect knowledge in a simple though mathematically sound way. This edited volume aims at continue stressing the benefits of applying rough sets in many real-life situations while still keeping an eye on topological aspects of the theory as well as strengthening its linkage with other soft computing paradigms. The volume comprises 11 chapters and is organized into three parts. Part 1 deals with theoretical contributions while Parts 2 and 3 focus on several real world data mining applications. Chapters authored by pioneers were selected on the basis of fundamental ideas/concepts rather than the thoroughness of techniques deployed. Academics, scientists as well as engineers working in the rough set, computational intelligence, soft computing and data mining research area will find the comprehensive coverage of this book invaluable.</P>;<P>Reports recent research results in rough set research </P>;9<HTOFPA=ijjcae>;Science
;978-3-540-92915-4;Bargiela;"Andrzej Bargiela; Witold Pedrycz (Eds.)";Human-Centric Information Processing Through Granular Modelling;;Studies in Computational Intelligence  Vol. 182;;2009;404;Hardcover;Book;VIII, 404 p. 148 illus.;;;final;129,95;139,05;142,95;118,5;216;;;;;;;English;Engineering;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;I21017 Artificial Intelligence (incl. Robotics);UXC;Engineering;Feb 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;26.02.2009;;<P>Rough-Granular Computing in Human-Centric Information Processing.- Integrative Levels of Granularity.- Affinities Between Perceptual Granules: Foundations and Perspectives.- Concept Granular Computing based on Lattice Theoretic Setting.- Interpretability of Fuzzy Information Granules.- Semantic Driven Fuzzy Clustering for Human-Centric Information Processing Applications.- Many-Valued Logic Tools for Granular Modeling.- Type-2 Fuzzy Logic and the Modeling of Uncertainty in Applications.- Interval Type-2 Fuzzy Logic Applications.- Processing of Information Microgranules within an Individuals’ Society.- Autonomous Composition of Fuzzy Granules in Ambient Intelligence Scenarios.- Information Processing in Biomedical Applications.- Reconstructing Gene Interactions.- Uncertain Identification Problems in the Context of Granular Computing.- Visualizing Huge Image Databases by Formal Concept Analysis.- Artificial Dendritic Cells: Multi-Faceted Perspectives.</P>;;<P>Contains the latest research in the rapidly growing interest in the area of Granular Computing (GC)</P> <P>Systematic exposure of the concepts, design methodology, and detailed algorithms</P> <P>Carefully structured and organized illustrative material</P> <P>Self-contained book , down to earth presentation of the material</P>;9<HTOFPA=jcjbfe>;Science
;978-1-4020-9339-5;Dowden;John Dowden (Ed.);The Theory of Laser Materials Processing;Heat and Mass Transfer in Modern Technology;Springer Series in Materials Science  Vol. 119;;2009;446;Hardcover;Book;XII, 446 p.;;;final;119,95;128,35;131,95;108;199,5;;;;;;;English;Physics;P26028 Laser Technology and Physics, Photonics ;PHJ;T00004 Engineering, general;TBC;Physics/Astronomy;Nov 08;Title advertised in News;Monograph;Springer Netherlands;Available;26.02.2009;;;"<P>The purpose of the book is to show how general principles can be used to obtain insight into laser processes. The principles used may come from fundamental physical theory or from direct observation of experimental results, but an understanding of the general characteristics of the behaviour of a process is essential for intelligent investigation and implementation, whether the approach is experimental, observational, numerical or analytical. The last two have a special value since the associated costs can be relatively low and may be used as a starting point for more expensive techniques. The construction of simple models whose underlying principles are easy to see is therefore of special value, and an understanding of their strengths and limitations is essential.</P> <P>The applications considered in detail are cutting, keyhole welding, drilling, arc and hybrid laser-arc welding, hardening, cladding, forming and cutting, but the general principles have a very wide application; metallurgical aspects are considered, as are femtosecond interactions with metals. The book begins with a discussion of the mathematical formulation of some relevant classes of physical ideas, and ends with an introduction to comprehensive numerical simulation. Although all the examples considered have the common feature that the source of power is a laser, many of the principles and methods apply to thermal modelling in a variety of different fields and at many different levels of power.</P>";<P>Detailed discussion of currently significant applications of laser processing</P> <P>Theoretical and practical points of view linked</P> <P>Emphasis on underlying physical causes for observed phenomena</P> <P>Quantifiable mathematical reasoning</P> <P>Introduction to techniques for producing sound computational methods</P>;9<HTMELC=ajddjf>;Science
;978-90-481-2356-8;Earl;"Lorna M. Earl; Helen Timperley (Eds.)";Professional Learning Conversations;Challenges in Using Evidence for Improvement;;;2009;134;Softcover;Book;XIV, 134 p.;;;final;24,95;26,7;27,45;22,99;41,5;;;;;;;English;Education;O17000 Administration, Organization and Leadership;JDCF;O19000 Educational Policy and Politics;JDC;Education;Apr 09;Title advertised in News;Collected works;Springer Netherlands;Available;26.02.2009;;<P>Acknowledgements and Contributing Authors. Acknowledgements. Contributing Authors.- 1: Understanding How Evidence and Learning Conversations Work.- 2: Raising Student Achievement in Poor Communities Through Evidence-Based Conversations.- 3: Structuring Talk about Teaching and Learning: The Use of Evidence in Protocol-Based Conversation.- 4: Leadership for Evidence-Informed Conversations.- 5: A Cross Grade Learner Conversation.- 6: Evidence Informed Conversations Making a Difference to Student Achievement.- 7: Honey, Wooden Spoons and Clay Pots: The Evolution of a Lithuanian Learning Conversation.- 8: Learning to Think and Talk from Evidence: Developing System-Wide Capacity for Learning Conversations.- 9: Learning Conversations Stillborn: Distrust and Education Policy Dialogue in South Africa.- 10: Using Conversations to Make Sense of Evidence: Possibilities and Pitfalls.- References. Index.</P>;<P>This volume provides informed arguments, theory and practical examples based on research about what it looks like when educators, policy makers, and even students, try to rethink and change their practices by engaging in evidence-based conversations to challenge and inform their work. It allows the reader to experience these conversations. Each story reveals the depth of thinking that change requires and gives important insights into the challenge associated with changing thinking and practice. Some of the stories are encouraging and others are frustrating. Taken together, they give tremendous insight into “what it takes” for conceptual change that will fundamentally shift educational practice.</P> <P>“This book moves beyond just promoting the use of evidence to examining just what is known and how it occurs in a range of settings, especially in interaction with others. This type of book will be key in a desired move to where professional educators reestablish their knowledge and responsibility base in educational policy and practice.” (Bill Mullford, Professor of Education, University of Tasmania)</P>;<P>Provides a theoretical framework for how people change, with examples and suggestions</P> <P>Opportunity to “listen in” on real conversations about change</P> <P>Shows that change requires new learning and new learning is hard</P>;9<HTUAPI=bcdfgi>;Science
;978-3-540-88050-9;Goh;"Chi-Keong Goh; Yew-Soon Ong; Kay Chen Tan (Eds.)";Multi-Objective Memetic Algorithms;;Studies in Computational Intelligence  Vol. 171;;2009;404;Hardcover;Book;XII, 404 p. 227 illus.;;;final;129,95;139,05;142,95;118,5;216;;;;;;;English;Engineering;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;I21017 Artificial Intelligence (incl. Robotics);UXC;Engineering;Nov 08;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;26.02.2009;;<P>Part I Introduction Evolutionary Multi-Multi-Objective Optimization – EMMOO.- Part II Knowledge Infused in Design of Problem-Specific Operators Solving Time-Tabling Problems using Evolutionary Algorithms and Heuristics Search .- Part III Knowledge Propagation through Cultural Evolution Risk and Cost Tradeoff In Economic Dispatch Including Wind Power Penetration Based on Multi-objective Memetic Particle Swarm Optimization .- Part IV Information Exploited for Local Improvement Combination of Genetic Algorithms and Evolution Strategies with Self-Adaptive Switching.</P>;<P>The application of sophisticated evolutionary computing approaches for solving complex problems with multiple conflicting objectives in science and engineering have increased steadily in the recent years. Within this growing trend, Memetic algorithms are, perhaps, one of the most successful stories, having demonstrated better efficacy in dealing with multi-objective problems as compared to its conventional counterparts. Nonetheless, researchers are only beginning to realize the vast potential of multi-objective Memetic algorithm and there remain many open topics in its design.</P> <P></P> <P>This book presents a very first comprehensive collection of works, written by leading researchers in the field, and reflects the current state-of-the-art in the theory and practice of multi-objective Memetic algorithms. 'Multi-Objective Memetic algorithms' is organized for a wide readership and will be a valuable reference for engineers, researchers, senior undergraduates and graduate students who are interested in the areas of Memetic algorithms and multi-objective optimization. </P>;<P>Recent research on Multi-objective Memetic Algorithms</P>;9<HTOFPA=iiafaj>;Science
;978-3-540-89886-3;Grosche;Tobias Grosche;Computational Intelligence in Integrated Airline Scheduling;;Studies in Computational Intelligence  Vol. 173;;2009;250;Hardcover;Book;XX, 250 p. 129 illus.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Engineering;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;I21017 Artificial Intelligence (incl. Robotics);UXC;Engineering;Jan 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;26.02.2009;;<P>Introduction.- Airline Scheduling Process.- Foundations of Metaheuristics.- Integrated Airline Scheduling.- Summary, Conclusions, and FutureWork.</P>;<P>An airline schedule represents the central planning element of each airline. In general, the objective of airline schedule optimization is to find the airline schedule that maximizes operating profit. This planning task is not only the most important but also the most complex task an airline is confronted with. Until now, this task is performed by dividing the overall planning problem into smaller and less complex subproblems that are solved separately in a sequence. However, this procedure is only of minor capability to deal with interdependencies between the subproblems, resulting in less profitable schedules than those being possible with an approach solving the airline schedule optimization problem in one step. In this work, two planning approaches for integrated airline scheduling are presented. One approach follows the traditional sequential approach: existing models from literature for individual subproblems are implemented and enhanced in an overall iterative routine allowing to construct airline schedules from scratch. The other planning appraoch represents a truly simultaneous airline scheduling: using metaheuristics, airline schedules are processed and optimized at once without a separation into different optimization steps for its subproblems.</P>;<P>Presents applications of Computational Intelligence in Integrated Airline Scheduling</P>;9<HTOFPA=ijiigd>;Science
;978-3-540-92755-6;Günther;"Hans-Otto Günther; Horst Tempelmeier";Übungsbuch Produktion und Logistik;;Springer-Lehrbuch  ;6., überarb. u. erw. Aufl.;2009;265;Brosch.;Buch;XVIII, 265 S.;;;final;16,78;17,95;18,46;13,99;28;;;;;;;Deutsch;Wirtschaftswissenschaften;W23113 Production/Logistics ;KMML;T22008 Industrial and Production Engineering;TGP;Wirtschaftswissenschaften;Mrz 09;Title advertised in News;Lehrbuch;Springer-Verlag Berlin Heidelberg;Available;26.02.2009;;<P>Einführung - Grundfragen der Produktion und Logistik: Produktion als Wertschöpfungsprozess.- Langfristige Erfolgsvoraussetzungen der industriellen Produktion: Strategische Entwicklungsplanung.- Integration von Produktions- und Marktstrategien.- Standortentscheidungen.- Die Gestaltung der Infrastruktur des Produktionssystems: Strukturierung der Produktionspotentiale.- Personelle Ressourcen.- Qualitätssicherung.- Elemente der operativen Produktionsplanung und -steuerung: Planung des Produktionsprogramms.- Losgrößen- und Ressourceneinsatzplanung.- Logistische Prozesse: Lagerhaltungssysteme.- Transport- und Tourenplanung.- Lagerbetrieb und Güterumschlag.- Konzeptionen von Produktionsplanungs- und -steuerungssystemen: Planungs- und Steuerungsprinzipien.- Modellierung von Geschäftsprozessen.- Advanced Planning Systems.</P>;<P>Dieses Übungsbuch ergänzt das im selben Verlag erschienene Lehrbuch zur „Produktion und Logistik'. Es vertieft den Stoff der einzelnen Kapitel des Lehrbuchs durch zahlreiche Übungsaufgaben, zu denen jeweils Musterlösungen angegeben werden sowie durch Verständnis- und Wiederholungsfragen. Inhaltlich ist das Übungsbuch direkt auf das zugehörige Lehrbuch zur „Produktion und Logistik' abgestimmt. Die 6. Auflage wurde überarbeitet und erweitert. </P>;;9<HTOFPA=jchffg>;Lehrbuch
X;978-1-84800-904-2;Jayne;"David  Jayne; Angelo Stuto (Eds.)";Transanal Stapling Techniques for Anorectal Prolapse;;;;2009;128;Hardcover;Book;VIII, 128 p. 54 illus., 44 in color.;;;final;129,95;139,05;142,95;98;216;;;;;;;English;Medicine & Public Health;H59036 Colorectal Surgery;MNG;H59001 Surgery ;MN;Medicine, Surgery;Sep 08;Title advertised in News;Professional book;Springer-Verlag London;Available;26.02.2009;;"<P>Preface.- Introduction.- Historical Background.- Anatomy and physiology of anorectal prolapse.- Diagnosis of Haemorrhoids &amp; ODS.- Evaluation of Patients with Symptomatic Haemorrhoids and Obstructed Defaecation.- Patient Selection for Stapled Haemorrhoidopexy &amp; STARR.- Stapled haemorrhoidopexy – the technique.- Stapled Transanal Rectal Resection (STARR Procedure).- The evidence for Stapled Haemorrhoidopexy &amp; STARR.- Areas of controversy and future research</P>";<P>The time is right for a textbook addressing transanal stapling techniques for anorectal prolapse. Both stapled haemorrhoidopexy and STARR have recently enjoyed widespread exposure and their application is spreading rapidly both through Europe and the USA. However, many areas of controversy remain and warrant comprehensive discussion. Current thinking on anorectal prolapse has evolved significantly in recent years and this needs to be updated in the literature. In addition, it is essential that the correct principles of transanal stapling are documented to aid training in techniques and to avoid unwanted complications. There is no other surgical textbook on the market that deals with this expanding area of Coloproctology.</P>;;9<HTMIPI=aajaec>;Professional
X;978-0-387-49473-9;Leckie;"Frederick A. Leckie; Dominic J. Dal Bello";Strength and Stiffness of Engineering Systems;;Mechanical Engineering Series  ;;2009;696;Hardcover;Book;XVI, 696 p. 475 illus.;;;final;69,95;74,85;76,95;64,99;116,5;;;;;;;English;Engineering;T1501X Continuum Mechanics and Mechanics of Materials;TGB;T11006 Appl.Mathematics/Computational Methods of Engineering;TBDC;Materials Science, Materials Science / Engineering;Jan 07;Title advertised in News;Graduate/Advanced undergraduate textbook;Springer-Verlag US;Available;26.02.2009;;Opening Remarks.- Statics.- Strain and Stress.- Axial Members and Pressure Vessels.- Torsion Members.- Bending Members: Beams.- Combined Loading.- Transformation of Stress and Strain.- Failure Criteria.- Buckling.- Energy Methods.- Ductile Materials and Design.- Effect of Flaws: Fracture.- Joints.- Composites.- Smart Systems.;<P>This book is a modern version of classical Strength of Materials adapted to meet the needs of developing technology with its emphasis on interdisciplinary approaches. Subjects such as plasticity, fracture, composite materials, energy approaches and mechanics of microdevices (MEMs) are integrated into a unified text. In this way, the slow build up of traditional programs is replaced by an integrated and unified approach which reflects the reality of modern technology with its demands to learn the fundamentals of new subjects quickly.</P> <P>The text is suitable for an introductory Strength of Materials course and as a continuing text for both advanced undergraduate and graduate courses. It can also be used as a resource for professional engineers occupied with development of new products. </P>;<P>Covers topics comprehensively that are used in engineering solutions for the stiffness and strength of physical systems, with a range of scales from micrometers to kilometers</P> <P>Exemplifies clear and simple writing with illustrated development</P> <P>Integrates both Internet and local sites</P> <P>The local site provides comprehensive tables of material properties, on-line interactive calculations, and self-correcting illustrative examples</P>;9<HTLDTH=ejehdj>;Students
;978-0-387-78192-1;Manton;"K.G. Manton; Igor Akushevich; Julia Kravchenko";Cancer Mortality and Morbidity Patterns in the U.S. Population;An Interdisciplinary Approach;Statistics for Biology and Health  ;;2009;455;Hardcover;Book;XV, 455 p.;;;final;59,95;64,15;65,95;55,99;99,5;;;;;;;English;Statistics;S15007 Statistics for Life Sciences, Medicine, Health Sciences;PBT;B11001 Cancer Research ;MJCL;Biomedicine;Jan 09;Title advertised in News;Monograph;Springer-Verlag New York;Available;26.02.2009;;<P>Preface.- Introduction: Cancer contra human: cohabitation with casualties?- Cancer modeling: how far can we move?- Cancer risk factors.- Standard and innovative statistical methods for empirically analyzing cancer morbidity and mortality.- Stochastic methods of analysis.- U.S. cancer morbidity and mortality risks.- U.S. cancer morbidity: modeling age-patterns of cancer histotypes.- Risk factors intervention.- Cancer prevention.- Conclusion/outlook.- Appendices.</P>;<P>The purpose of this book is to examine the etiology of cancer in large human populations using mathematical models developed from an inter-disciplinary perspective of the population epidemiological, biodemographic, genetic and physiological basis of the mechanisms of cancer initiation and progression. In addition an investigation of how the basic mechanism of tumor initiation relates to general processes of senescence and to other major chronic diseases (e.g., heart disease and stroke) will be conducted.</P>;<P>Uses new models, relatively unique human poopulation data</P> <P>Relates/couples mechanisms at the cellular and population levels over time/age</P>;9<HTLDTH=hibjcb>;Professional
